year_month,station_id,station_name,station_name_en,station_attribute,source_file,Precipitation
2017-09-01,467571,新竹,HSINCHU,署屬有人氣象站,dy_Report_2017.xml,64.8
2017-09-01,467590,恆春,HENGCHUN,署屬有人氣象站,dy_Report_2017.xml,243.6
2017-09-01,467610,成功,CHENGGONG,署屬有人氣象站,dy_Report_2017.xml,153.5
2017-09-01,467620,蘭嶼,LANYU,署屬有人氣象站,dy_Report_2017.xml,464.7
2017-09-01,467650,日月潭,SUN MOON LAKE,署屬有人氣象站,dy_Report_2017.xml,118.0
2017-09-01,467660,臺東,TAITUNG,署屬有人氣象站,dy_Report_2017.xml,162.0
2017-09-01,467990,馬祖,MATSU,署屬有人氣象站,dy_Report_2017.xml,53.0
2017-09-01,C0G650,員林,Yuanlin,署屬自動氣象站,dy_Report_2017.xml,26.0
2017-09-01,C0K400,斗六,Douliu,署屬自動氣象站,dy_Report_2017.xml,84.0
2017-09-01,C1E770,公館,Gongguan,署屬自動氣象站,dy_Report_2017.xml,81.5
2017-10-01,466880,板橋,BANQIAO,署屬有人氣象站,dy_Report_2017.xml,364.1
2017-10-01,466900,淡水,TAMSUI,署屬有人氣象站,dy_Report_2017.xml,460.0
2017-10-01,466910,鞍部,ANBU,署屬有人氣象站,dy_Report_2017.xml,1607.3
